"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.client0.log",,,,"Date:","08 Sep 2019 20:23:12 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
1.245,0.681,98.058,0.015,0,26584.916,25932767.813,0,0,1567992192.428
0.025,0,99.975,0,0,0,0,13998,1596,1567992193.430
0.025,0.050,99.925,0,0,0,98304,488947,4549,1567992194.430
0.125,0.075,99.800,0,0,0,0,15896,5300,1567992195.430
0.250,0.025,99.725,0,0,0,159744,21457,9533,1567992196.430
0.225,0.050,99.725,0,0,0,4096,21924,9546,1567992197.430
0.200,0.025,99.775,0,0,0,77824,20375,9601,1567992198.430
0.275,0.050,99.675,0,0,0,0,493616,13972,1567992199.430
0.225,0.075,99.700,0,0,0,73728,20299,9509,1567992200.429
0.200,0.025,99.775,0,0,0,28672,20048,7874,1567992201.430
0.200,0.050,99.750,0,0,0,77824,21317,9279,1567992202.430
0.175,0.075,99.750,0,0,0,0,18911,6959,1567992203.430
0.250,0.025,99.725,0,0,0,77824,494349,13097,1567992204.429
0.250,0.025,99.725,0,0,0,0,21199,9517,1567992205.430
0.200,0.075,99.725,0,0,0,81920,20701,9659,1567992206.430
0.200,0.050,99.750,0,0,0,110592,19948,9400,1567992207.430
0.351,0.526,99.124,0,0,0,77824,91874037,137726,1567992208.429
3.767,5.638,90.594,0,0,0,0,1140005482,1491991,1567992209.430
3.587,5.622,90.791,0,0,0,77824,1131934511,1399119,1567992210.430
3.631,5.003,91.366,0,0,0,0,1125528826,1700726,1567992211.430
3.391,4.327,92.282,0,0,0,77824,1108689259,1622568,1567992212.429
3.053,4.732,92.216,0,0,0,12288,1101393850,1556124,1567992213.430
3.284,4.294,92.422,0,0,0,73728,1121465673,1392879,1567992214.430
3.185,4.373,92.442,0,0,0,0,1127742097,1608473,1567992215.430
3.275,4.383,92.317,0.025,0,0,86016,1108411064,1478788,1567992216.430
3.564,4.398,92.037,0,0,0,77824,1112757226,1187825,1567992217.430
3.512,4.548,91.940,0,0,0,126976,1125970515,1561343,1567992218.430
3.126,4.422,92.452,0,0,0,0,1098561055,1435552,1567992219.430
3.020,4.161,92.819,0,0,0,0,1115235219,1572947,1567992220.430
3.354,4.802,91.845,0,0,0,77824,1121072944,1463003,1567992221.430
3.336,5.322,91.342,0,0,0,0,1143201445,1464523,1567992222.430
2.922,4.167,92.912,0,0,0,86016,1120684020,1647167,1567992223.430
2.920,4.317,92.763,0,0,0,0,1111311145,1306500,1567992224.430
2.967,4.210,92.823,0,0,0,77824,1107317025,1219839,1567992225.430
2.595,4.504,92.901,0,0,0,81920,1099635897,1333209,1567992226.430
3.174,4.393,92.433,0,0,0,110592,1098491363,1219282,1567992227.430
3.205,4.579,92.216,0,0,0,8192,1138527016,1558173,1567992228.430
3.210,4.459,92.331,0,0,0,77824,1115649342,1408554,1567992229.429
2.776,5.246,91.979,0,0,0,0,1132920668,1395759,1567992230.430
2.757,4.749,92.494,0,0,0,77824,1133272412,1597408,1567992231.430
3.145,4.235,92.620,0,0,0,0,1096081924,1348647,1567992232.430
3.005,4.507,92.488,0,0,0,110592,1125799853,1516512,1567992233.430
3.157,4.773,92.071,0,0,0,0,1126582167,1266805,1567992234.429
3.269,4.080,92.651,0,0,0,73728,1126448123,1492169,1567992235.430
3.278,3.990,92.732,0,0,0,86016,1145128215,1708335,1567992236.430
3.146,4.363,92.491,0,0,0,81920,1146459284,1630830,1567992237.429
2.626,4.116,93.258,0,0,0,4096,1120712870,1314653,1567992238.430
