"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.client0.log",,,,"Date:","08 Sep 2019 20:23:12 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
0.250,0.025,99.725,0,0,0,135168,21199,9509,1567994380.260
0.200,0.025,99.775,0,0,0,0,20789,7949,1567994381.260
0.150,0.050,99.800,0,0,0,98304,18804,7779,1567994382.260
0.225,0.025,99.750,0,0,0,12288,18724,8451,1567994383.260
0.275,0.025,99.700,0,0,0,77824,492369,14095,1567994384.260
0.250,0.100,99.650,0,0,0,49152,6157852,381079,1567994385.260
0.150,0.100,99.750,0,0,0,77824,14625419,98251,1567994386.260
0.100,0,99.900,0,0,0,86016,12502984,82802,1567994387.260
0.225,0.050,99.725,0,0,0,81920,13918695,91061,1567994388.260
0.225,0.100,99.675,0,0,0,12288,15100301,99179,1567994389.260
0.200,0.050,99.750,0,0,0,77824,12503473,81029,1567994390.260
0.225,0.075,99.700,0,0,0,45056,13446711,86067,1567994391.260
0.100,0.050,99.850,0,0,0,77824,12033441,77553,1567994392.260
0.125,0.025,99.850,0,0,0,0,12033030,77544,1567994393.260
0.125,0.100,99.775,0,0,0,90112,11801719,77083,1567994394.260
0.100,0.050,99.850,0,0,0,0,11328255,72867,1567994395.260
0.175,0.050,99.775,0,0,0,77824,11092537,72045,1567994396.260
0.125,0.025,99.850,0,0,0,126976,12035742,76752,1567994397.260
0.225,0.050,99.725,0,0,0,77824,11093455,70667,1567994398.260
0.075,0.025,99.900,0,0,0,0,10860071,70205,1567994399.260
0.175,0.125,99.574,0.125,0,0,19464192,11330278,73197,1567994400.260
0.075,0.050,99.875,0,0,0,0,10385103,66751,1567994401.260
0.050,0.100,99.850,0,0,0,192512,10623105,68482,1567994402.260
0.100,0.025,99.875,0,0,0,0,9679203,62317,1567994403.260
0.125,0.025,99.850,0,0,0,73728,11095719,72508,1567994404.260
0.150,0.075,99.775,0,0,0,0,11092905,72325,1567994405.260
