"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.client0.log",,,,"Date:","08 Sep 2019 20:23:12 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
0.200,0.025,99.775,0,0,0,77824,20369,7823,1567993410.260
0.150,0.050,99.800,0,0,0,4096,21587,9453,1567993411.260
0.200,0.050,99.750,0,0,0,77824,26502,6992,1567993412.260
0.225,0.025,99.750,0,0,0,0,28018,9442,1567993413.260
0.275,0.025,99.700,0,0,0,77824,497381,13487,1567993414.260
0.225,0.025,99.750,0,0,0,12288,21655,9475,1567993415.260
0.376,0.852,98.772,0,0,0,184320,145152478,230089,1567993416.260
5.170,5.981,88.849,0,0,0,86016,1147442254,1558508,1567993417.260
5.824,5.622,88.554,0,0,0,81920,1176038360,1733121,1567993418.260
5.983,4.990,89.027,0,0,0,0,1160774012,1507139,1567993419.260
6.272,4.401,89.327,0,0,0,77824,1197205131,1680762,1567993420.260
6.051,4.780,89.169,0,0,0,8192,1173609713,1697981,1567993421.260
6.151,4.448,89.400,0,0,0,81920,1178764123,1566668,1567993422.260
5.291,4.604,90.104,0,0,0,0,1189128373,1657565,1567993423.260
5.718,4.701,89.581,0,0,0,77824,1178971957,1616568,1567993424.260
5.797,4.582,89.620,0,0,0,0,1182259624,1634571,1567993425.260
5.331,4.697,89.972,0,0,0,73728,1108233385,1118260,1567993426.260
5.820,4.625,89.555,0,0,0,90112,1162436122,1486206,1567993427.260
5.560,4.271,90.169,0,0,0,90112,1142184158,1338646,1567993428.260
5.791,4.330,89.879,0,0,0,0,1164474803,1523568,1567993429.260
5.183,3.843,90.973,0,0,0,77824,1126928645,1113251,1567993430.260
5.023,4.038,90.939,0,0,0,0,1136628477,1326070,1567993431.260
5.235,3.844,90.921,0,0,0,98304,1111915069,1258721,1567993432.260
4.764,3.731,91.505,0,0,0,0,1105012081,929898,1567993433.260
5.392,3.981,90.627,0,0,0,77824,1129318148,1082717,1567993434.260
5.271,4.338,90.391,0,0,0,0,1138161795,1189251,1567993435.260
5.532,3.915,90.528,0.025,0,0,77824,1151644124,1320293,1567993436.260
5.823,3.589,90.587,0,0,0,94208,1171953103,1436098,1567993437.260
5.924,3.824,90.252,0,0,0,81920,1160222562,1389425,1567993438.260
5.522,3.865,90.612,0,0,0,0,1173817309,1334489,1567993439.260
5.692,4.263,90.045,0,0,0,77824,1154905449,1427495,1567993440.260
5.644,4.283,90.073,0,0,0,0,1152096006,1307789,1567993441.260
5.866,4.381,89.753,0,0,0,81920,1172702685,1354545,1567993442.260
5.568,4.434,89.997,0,0,0,20480,1155543432,1261892,1567993443.260
6.026,4.060,89.914,0,0,0,73728,1171710745,1441393,1567993444.260
5.417,3.729,90.854,0,0,0,0,1136660498,1090699,1567993445.260
5.080,4.024,90.895,0,0,0,163840,1082358217,1059489,1567993446.260
5.162,3.727,91.111,0,0,0,122880,1130416555,1158610,1567993447.260
5.087,3.727,91.186,0,0,0,81920,1114476979,1136525,1567993448.260
4.122,3.619,92.259,0,0,0,0,991862217,748807,1567993449.260
3.924,3.345,92.731,0,0,0,77824,954325797,722901,1567993450.260
4.301,3.647,92.052,0,0,0,0,1058998653,758414,1567993451.260
4.553,3.723,91.723,0,0,0,77824,1093929822,907183,1567993452.260
4.180,3.022,92.798,0,0,0,0,975762346,673028,1567993453.260
3.875,3.120,93.005,0,0,0,77824,966780697,797869,1567993454.260
4.283,3.326,92.391,0,0,0,90112,1035336888,950297,1567993455.260
5.243,4.134,90.623,0,0,0,77824,1155998226,1166468,1567993456.260
4.588,3.327,92.085,0,0,0,94208,1030056189,900310,1567993457.260
4.147,3.167,92.661,0.025,0,0,81920,950230623,849247,1567993458.260
4.371,3.215,92.414,0,0,0,0,1029790984,1016073,1567993459.260
4.174,3.068,92.758,0,0,0,77824,1071845078,976051,1567993460.260
4.196,2.889,92.915,0,0,0,106496,1032370250,873092,1567993461.260
4.346,3.090,92.565,0,0,0,94208,996187324,542425,1567993462.260
3.743,3.316,92.941,0,0,0,0,836999661,382372,1567993463.260
4.028,3.323,92.649,0,0,0,77824,909419140,599493,1567993464.260
4.209,3.478,92.314,0,0,0,0,933970257,679269,1567993465.260
4.159,3.655,92.186,0,0,0,176128,956168813,477890,1567993466.260
4.255,3.474,92.271,0,0,0,94208,942052056,566972,1567993467.260
4.462,3.907,91.631,0,0,0,81920,1062511065,813693,1567993468.260
4.076,3.070,92.854,0,0,0,98304,958279751,835102,1567993469.260
3.721,2.917,93.362,0,0,0,98304,938232826,659527,1567993470.260
3.557,2.355,94.088,0,0,0,0,871488928,686438,1567993471.260
3.687,2.508,93.805,0,0,0,77824,881118819,690239,1567993472.260
4.290,2.810,92.900,0,0,0,0,980703834,800626,1567993473.260
4.171,2.839,92.990,0,0,0,90112,1029740139,1051821,1567993474.260
3.469,2.640,93.891,0,0,0,90112,847604812,714537,1567993475.260
4.045,3.040,92.915,0,0,0,81920,959414386,817810,1567993476.260
3.713,2.484,93.803,0,0,0,86016,913761324,635274,1567993477.260
3.759,2.481,93.759,0,0,0,143360,912958334,656823,1567993478.260
3.810,3.083,93.083,0.025,0,0,114688,909891988,700556,1567993479.260
3.134,2.432,94.435,0,0,0,114688,832352694,759151,1567993480.260
3.307,2.104,94.589,0,0,0,81920,785573013,721748,1567993481.260
2.734,2.032,95.235,0,0,0,77824,719638670,415275,1567993482.260
3.611,2.583,93.806,0,0,0,0,942706267,807086,1567993483.260
2.504,1.928,95.567,0,0,0,77824,602658548,314119,1567993484.260
2.431,1.504,96.065,0,0,0,94208,542737759,385497,1567993485.260
2.255,1.678,96.067,0,0,0,81920,612599943,361948,1567993486.260
1.926,1.526,96.547,0,0,0,90112,501716091,183282,1567993487.260
2.553,1.927,95.519,0,0,0,98304,639284880,368261,1567993488.260
2.779,1.627,95.593,0,0,0,114688,704567844,374836,1567993489.260
3.183,2.581,94.236,0,0,0,196608,812901748,536971,1567993490.260
3.917,3.214,92.870,0,0,0,0,1021036190,997180,1567993491.260
2.958,2.281,94.761,0,0,0,77824,782566161,498437,1567993492.260
2.805,1.953,95.242,0,0,0,0,707246637,434906,1567993493.260
3.744,2.437,93.819,0,0,0,77824,905072119,536585,1567993494.260
3.771,2.966,93.263,0,0,0,90112,859167107,504501,1567993495.260
2.409,2.334,95.232,0.025,0,0,172032,644354701,412110,1567993496.260
2.108,1.606,96.285,0,0,0,0,490055802,207742,1567993497.260
2.233,1.581,96.187,0,0,0,98304,535820591,144539,1567993498.260
2.234,1.883,95.883,0,0,0,118784,534009244,197856,1567993499.260
2.436,1.959,95.605,0,0,0,188416,612889583,183249,1567993500.260
2.967,2.112,94.921,0,0,0,0,676008543,391556,1567993501.260
3.264,2.586,94.150,0,0,0,172032,766269400,411103,1567993502.260
2.940,2.413,94.647,0,0,0,0,740991076,305726,1567993503.260
3.017,2.188,94.795,0,0,0,0,700543741,222905,1567993504.260
2.487,2.060,95.452,0,0,0,77824,645027573,451678,1567993505.260
2.769,2.795,94.436,0,0,0,90112,767782656,251684,1567993506.260
3.878,2.972,93.150,0,0,0,81920,858425269,341308,1567993507.260
3.779,3.653,92.567,0,0,0,81920,971671586,507977,1567993508.260
3.876,3.020,93.103,0,0,0,77824,856441711,499815,1567993509.260
4.516,3.935,91.549,0,0,0,114688,1011731141,741538,1567993510.260
3.978,2.996,93.026,0,0,0,192512,900299363,529912,1567993511.260
4.256,3.425,92.319,0,0,0,0,1032189521,890613,1567993512.260
4.036,3.557,92.407,0,0,0,81920,975441296,538422,1567993513.260
3.447,2.868,93.686,0,0,0,0,889264692,720495,1567993514.260
3.086,2.283,94.631,0,0,0,77824,710636703,359187,1567993515.260
3.038,2.536,94.401,0.025,0,0,90112,777880224,507976,1567993516.260
3.161,2.559,94.280,0,0,0,188416,807221086,514730,1567993517.260
3.219,2.313,94.468,0,0,0,0,772113716,464669,1567993518.260
3.334,2.880,93.786,0,0,0,77824,822565711,386731,1567993519.260
