"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.osd0.log",,,,"Date:","08 Sep 2019 20:27:19 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
0.171,0.109,99.707,0.013,0,12586845.284,29019458.070,0,0,1567992439.288
0,0.025,99.975,0,0,0,8192,58581,46311,1567992440.289
0.050,0,99.950,0,0,0,8192,25127,10795,1567992441.289
1.101,0.776,98.048,0.075,0,3252224,774144,33793,19960,1567992442.289
0.450,0.200,99.249,0.100,0,4300800,937984,13596,2122,1567992443.289
0.025,0.025,99.950,0,0,0,8192,23016,65605,1567992444.289
0.025,0,99.975,0,0,159744,8192,22974,9559,1567992445.289
0.025,0.025,99.950,0,0,0,8192,54312,41280,1567992446.289
0.025,0.025,99.950,0,0,0,8192,55212,41322,1567992447.289
0,0.050,99.925,0.025,0,0,364544,54318,41374,1567992448.289
0.025,0,99.975,0,0,0,8192,17928,61051,1567992449.289
0,0.025,99.975,0,0,0,8192,17595,5043,1567992450.289
0,0.025,99.975,0,0,0,8192,21594,9402,1567992451.289
0.025,0.025,99.950,0,0,0,8192,26088,13956,1567992452.289
0.025,0,99.975,0,0,0,331776,31962,18510,1567992453.289
0.200,0.125,99.675,0,0,67633152,8192,53230,89518,1567992454.289
0.551,0.276,99.173,0,0,171966464,8192,266823,175012948,1567992455.289
0.501,0.325,99.174,0,0,166199296,8192,149026,87376376,1567992456.289
0.526,0.275,99.199,0,0,154664960,8192,247280,170744684,1567992457.289
0.550,0.325,99.099,0.025,0,152043520,6057984,208432,134953760,1567992458.289
0.426,0.276,99.298,0,0,162004992,8192,283650,187989317,1567992459.289
0.501,0.300,99.199,0,0,159907840,8192,240921,148551183,1567992460.289
0.526,0.225,99.249,0,0,137887744,8192,164548,108657112,1567992461.289
0.225,0.225,99.549,0,0,65536000,8192,301190,191839270,1567992462.289
0.350,0.325,99.324,0,0,92274688,6225920,201877,145594200,1567992463.289
0.050,0.025,99.925,0,0,0,8192,66558,41668456,1567992464.289
0.351,0.225,99.424,0,0,139460608,8192,134206,74003394,1567992465.289
0.400,0.225,99.375,0,0,108527616,8192,159969,91733578,1567992466.289
0.325,0.200,99.474,0,0,90177536,8192,198198,132899310,1567992467.289
0.175,0.300,99.474,0.050,0,80740352,4460544,198527,125984904,1567992468.289
0.601,0.175,99.223,0,0,162004992,8192,136572,111812665,1567992469.289
0.401,0.325,99.274,0,0,118489088,8192,262871,174840881,1567992470.289
0.450,0.275,99.275,0,0,112721920,8192,186566,138426769,1567992471.289
0.325,0.150,99.525,0,0,82837504,8192,119294,93810687,1567992472.289
0.426,0.300,99.249,0.025,0,120061952,6197248,204782,142367476,1567992473.289
0.375,0.250,99.375,0,0,100663296,659456,184896,101200865,1567992474.289
0.250,0.250,99.499,0,0,95944704,8192,138590,114314343,1567992475.289
0.551,0.275,99.174,0,0,141557760,8192,230204,139061108,1567992476.289
0.451,0.275,99.274,0,0,135266304,8192,236154,117633255,1567992477.289
0.175,0.250,99.550,0.025,0,45088768,5083136,159482,140310196,1567992478.289
0.225,0.200,99.575,0,0,73924608,8192,149306,94492255,1567992479.289
0.450,0.275,99.275,0,0,116916224,8192,159879,108870520,1567992480.289
0.326,0.226,99.323,0.125,0,111673344,8192,174432,126913871,1567992481.289
0.425,0.350,99.224,0,0,121634816,8192,202770,136697663,1567992482.289
0.501,0.250,99.224,0.025,0,144179200,5324800,255268,172786578,1567992483.289
0.475,0.325,99.174,0.025,0,87556096,8192,278894,187740523,1567992484.289
0.501,0.351,99.149,0,0,134221824,8192,298606,204820378,1567992485.289
0.300,0.200,99.500,0,0,83361792,8192,143834,81092706,1567992486.289
0.325,0.225,99.449,0,0,96993280,8192,137282,129548579,1567992487.289
0.275,0.225,99.475,0.025,0,78118912,6037504,119870,101301665,1567992488.289
0.250,0.175,99.574,0,0,57147392,8192,116818,115683871,1567992489.289
0,0,100,0,0,0,8192,51267,25868327,1567992490.289
0.225,0.175,99.600,0,0,61886464,8192,172032,48052316,1567992491.289
0.275,0.150,99.575,0,0,52953088,8192,103216,98193771,1567992492.289
0.351,0.251,99.398,0,0,119013376,3534848,239046,184441113,1567992493.289
0.300,0.200,99.499,0,0,73400320,8192,170244,117463884,1567992494.289
0.225,0.175,99.599,0,0,53477376,8192,171196,110137894,1567992495.289
0.175,0.200,99.625,0,0,45088768,8192,107704,79274830,1567992496.289
0.050,0.100,99.850,0,0,13631488,8192,106446,69930113,1567992497.289
0.300,0.200,99.474,0.025,0,76546048,3915776,111706,117907577,1567992498.289
0.050,0.075,99.875,0,0,7340032,8192,77748,47304057,1567992499.289
0.125,0.075,99.800,0,0,37748736,8192,73949,47258425,1567992500.289
0.150,0.075,99.775,0,0,45088768,8192,84920,47184116,1567992501.289
0.125,0.150,99.725,0,0,45088768,8192,92324,47161412,1567992502.289
0.325,0.175,99.499,0,0,90177536,2789376,90520,94325618,1567992503.289
0.125,0.075,99.800,0,0,45088768,917504,39484,47208477,1567992504.289
0.401,0.275,99.324,0,0,135266304,8192,100180,95653414,1567992505.289
0.200,0.150,99.650,0,0,45088768,8192,163536,93041542,1567992506.289
0.375,0.125,99.500,0,0,96468992,8192,93302,72462109,1567992507.289
0.200,0.125,99.650,0.025,0,61341696,3072000,105916,92609884,1567992508.289
