"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.osd0.log",,,,"Date:","08 Sep 2019 20:27:19 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
0,0,100,0,0,0,8192,31617,18651,1567994380.289
0.025,0.025,99.950,0,0,0,8192,54132,41280,1567994381.289
0,0,100,0,0,0,8192,25968,13956,1567994382.289
0.025,0.025,99.950,0,0,0,352256,48138,36726,1567994383.289
0.025,0.025,99.950,0,0,0,8192,20874,65605,1567994384.289
0.475,0.200,99.325,0,0,132120576,8192,53901,718044,1567994385.289
0.901,0.250,98.849,0,0,173015040,8192,32504,1899545,1567994386.289
1.051,0.250,98.699,0,0,160956416,0,55178,2162266,1567994387.289
0.875,0.225,98.875,0.025,0,163053568,6062080,22132,1654718,1567994388.289
0.976,0.200,98.824,0,0,162004992,8192,31928,1947093,1567994389.289
0.875,0.175,98.950,0,0,162529280,8192,61321,1455831,1567994390.289
1.000,0.175,98.825,0,0,142606336,8192,51212,1922122,1567994391.289
0.625,0.200,99.175,0,0,131072000,8192,32960,1192576,1567994392.289
0.650,0.075,99.250,0.025,0,58720256,6770688,17754,1183138,1567994393.289
0.675,0.200,99.125,0,0,91226112,8192,40314,1253315,1567994394.290
0.650,0.175,99.175,0,0,90177536,8192,53288,1446450,1567994395.290
0.500,0.075,99.425,0,0,45088768,8192,28762,716574,1567994396.289
0.575,0.125,99.299,0,0,78118912,8192,26552,1183468,1567994397.289
0.726,0.125,99.124,0.025,0,119537664,4902912,47836,1437276,1567994398.289
0.750,0.150,99.100,0,0,109576192,8192,35558,1484403,1567994399.289
0.700,0.175,99.125,0,0,98566144,8192,29692,1188167,1567994400.289
0.400,0.050,99.550,0,0,67633152,8192,59043,984114,1567994401.289
0.800,0.175,98.974,0.050,0,113520640,4206592,23549,1383441,1567994402.289
0.550,0.125,99.325,0,0,90177536,8192,60003,1015529,1567994403.289
0.625,0.225,99.150,0,0,90177536,2273280,30451,1244230,1567994404.289
0.600,0.125,99.274,0,0,82837504,8192,36222,956976,1567994405.289
0.700,0.150,99.150,0,0,52428800,8192,23786,1419132,1567994406.289
0.450,0.150,99.374,0.025,0,71827456,3211264,68232,988800,1567994407.289
0.550,0.100,99.350,0,0,63438848,8192,82689,1006818,1567994408.289
0.450,0.175,99.375,0,0,76021760,8192,29636,1008603,1567994409.289
0.501,0.175,99.324,0,0,71303168,8192,35854,1192590,1567994410.289
0.775,0.150,99.075,0,0,143151104,8192,28784,1419558,1567994411.289
0.750,0.200,99.025,0.025,0,121634816,4571136,44080,1197333,1567994412.289
0.825,0.150,99.025,0,0,128974848,8192,65897,1691409,1567994413.289
0.900,0.150,98.950,0,0,122159104,8192,39740,1724688,1567994414.290
0.976,0.200,98.824,0,0,158334976,8192,55647,1913286,1567994415.289
0.525,0.125,99.350,0,0,88080384,8192,69411,993222,1567994416.289
0.701,0.175,99.074,0.050,0,127926272,6868992,25633,1419132,1567994417.289
0.325,0.100,99.575,0,0,50855936,8192,58257,512796,1567994418.289
0.500,0.100,99.400,0,0,84410368,8192,36213,1017579,1567994419.289
0.500,0.125,99.375,0,0,67633152,8192,22175,947823,1567994420.289
0.050,0.050,99.900,0,0,8388608,8192,31625,18576,1567994421.289
0.425,0.125,99.449,0,0,59244544,3096576,58779,984114,1567994422.289
0.400,0.075,99.525,0,0,45088768,8192,27837,716511,1567994423.289
0.575,0.125,99.299,0,0,148897792,8192,62475,1036001,1567994424.289
0.901,0.200,98.899,0,0,128974848,8192,38192,1904046,1567994425.289
0.375,0.075,99.549,0,0,82837504,8192,55340,743967,1567994426.289
0.300,0.125,99.550,0.025,0,45088768,4775936,18965,711891,1567994427.289
0.425,0.100,99.475,0,0,67633152,8192,66711,757563,1567994428.289
0.525,0.150,99.325,0,0,90177536,8192,32798,777400,1567994429.290
0.425,0.100,99.475,0,0,67633152,8192,52182,979701,1567994430.289
0.400,0.075,99.525,0,0,67633152,8192,33879,725685,1567994431.289
0.150,0.050,99.800,0,0,22544384,3485696,17981,240573,1567994432.289
0.400,0.125,99.475,0,0,67633152,8192,62097,517350,1567994433.289
0.100,0.050,99.850,0,0,22544384,8192,23741,537025,1567994434.289
0.475,0.100,99.425,0,0,67633152,1138688,33272,956856,1567994435.289
0.300,0.075,99.625,0,0,45088768,8192,27046,480786,1567994436.289
0.575,0.225,99.199,0,0,111149056,1576960,36660,1192515,1567994437.289
0.425,0.075,99.500,0,0,46661632,8192,25276,716511,1567994438.289
0.375,0.125,99.500,0,0,79167488,8192,88717,832114,1567994439.289
0.300,0.050,99.650,0,0,33554432,81920,13208,707478,1567994440.289
0.250,0.100,99.650,0,0,45088768,8192,19168,476298,1567994441.289
0.550,0.150,99.275,0.025,0,91750400,3547136,29310,952302,1567994442.289
0.851,0.200,98.949,0,0,135790592,8192,78070,1705017,1567994443.289
0.800,0.100,99.100,0,0,109576192,8192,26037,1479723,1567994444.289
0.250,0.050,99.700,0,0,45088768,8192,19102,476298,1567994445.289
0.475,0.100,99.424,0,0,101711872,8192,59095,984300,1567994446.289
0.800,0.225,98.949,0.025,0,164626432,5632000,67214,1455828,1567994447.289
0.650,0.200,99.150,0,0,125829120,8192,26043,1423554,1567994448.289
0.900,0.125,98.974,0,0,126353408,8192,29863,1715592,1567994449.289
0.575,0.175,99.249,0,0,112721920,8192,66772,1224600,1567994450.289
0.150,0.050,99.800,0,0,30932992,8192,58264,277113,1567994451.289
0.400,0.125,99.475,0,0,76021760,5087232,28754,716643,1567994452.289
0.450,0.150,99.400,0,0,73400320,8192,25954,952170,1567994453.290
0.075,0,99.925,0,0,16777216,8192,24328,65737,1567994454.289
0.500,0.175,99.325,0,0,73400320,8192,57562,984048,1567994455.289
0.175,0.025,99.800,0,0,22544384,8192,23771,245127,1567994456.289
0.500,0.150,99.325,0.025,0,90177536,2842624,70172,993288,1567994457.289
0.375,0.100,99.525,0,0,67633152,8192,54279,743901,1567994458.289
0.375,0.100,99.525,0,0,67633152,8192,23048,532633,1567994459.289
0.800,0.200,99,0,0,142082048,8192,21039,1650444,1567994460.289
0.375,0.125,99.500,0,0,78643200,8192,40821,730239,1567994461.289
0.501,0.075,99.424,0,0,72351744,4108288,58893,984114,1567994462.289
0.500,0.125,99.375,0,0,90177536,8192,23732,947748,1567994463.289
0.250,0.025,99.725,0,0,45088768,8192,34900,310504,1567994464.289
0.475,0.100,99.425,0,0,85983232,2723840,65498,988668,1567994465.289
0.125,0,99.875,0,0,4194304,8192,14244,235953,1567994466.289
0.475,0.100,99.425,0,0,67633152,335872,36465,725685,1567994467.289
0.350,0.200,99.450,0,0,85983232,8192,28394,716643,1567994468.289
0.100,0.050,99.850,0,0,4194304,8192,22494,301334,1567994469.289
0.250,0.025,99.725,0,0,45088768,8192,57793,512871,1567994470.289
0.475,0.100,99.425,0,0,90177536,12288,23564,712089,1567994471.289
