"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.osd0.log",,,,"Date:","08 Sep 2019 20:27:19 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
"usr","sys","idl","wai","stl","read","writ","recv","send","epoch"
0.025,0.025,99.950,0,0,0,8192,16995,4989,1567993410.289
0,0.025,99.975,0,0,0,8192,55512,41280,1567993411.289
0,0.025,99.975,0,0,0,8192,35088,13956,1567993412.289
0,0,100,0,0,0,8192,23940,4848,1567993413.289
0,0.025,99.975,0,0,0,339968,61614,102037,1567993414.289
0,0.025,99.975,0,0,0,8192,13386,294,1567993415.289
0.350,0.275,99.375,0,0,100143104,8192,115616,58160621,1567993416.289
0.501,0.326,99.174,0,0,163577856,8192,213389,175505804,1567993417.289
0.626,0.276,99.098,0,0,179830784,8192,227163,121056814,1567993418.289
0.501,0.325,99.149,0.025,0,163577856,6021120,176162,135237027,1567993419.289
0.526,0.326,99.149,0,0,146276352,8192,244629,136221167,1567993420.289
0.526,0.301,99.173,0,0,159432704,8192,312803,152950990,1567993421.289
0.600,0.375,99.024,0,0,160432128,8192,330336,190279910,1567993422.289
0.400,0.325,99.274,0,0,83886080,8192,287889,197551682,1567993423.289
0.326,0.175,99.499,0,0,83886080,4202496,284693,154114473,1567993424.289
0.200,0.150,99.625,0.025,0,45088768,2048000,120663,70872160,1567993425.289
0.125,0.175,99.700,0,0,37748736,8192,41790,24583054,1567993426.289
0.476,0.275,99.249,0,0,123731968,8192,221366,142119076,1567993427.289
0.200,0.200,99.600,0,0,61865984,8192,148079,115207870,1567993428.289
0.275,0.325,99.400,0,0,55050240,3153920,181101,97824539,1567993429.289
0.450,0.250,99.275,0.025,0,105906176,946176,181729,128022781,1567993430.289
0.351,0.376,99.274,0,0,112721920,8192,256494,191207368,1567993431.289
0.375,0.250,99.375,0,0,97517568,8192,107478,80222627,1567993432.289
0.350,0.275,99.375,0,0,83886080,8192,155232,140600668,1567993433.289
0.375,0.275,99.349,0,0,111673344,8192,206636,119968400,1567993434.289
0.400,0.275,99.300,0.025,0,112721920,6553600,126904,118705215,1567993435.289
0.350,0.300,99.350,0,0,90177536,8192,149888,119154873,1567993436.289
0.301,0.251,99.449,0,0,91750400,8192,161262,106843133,1567993437.289
0.325,0.400,99.274,0,0,83886080,8192,200206,155646584,1567993438.289
0.225,0.250,99.524,0,0,49807360,8192,267186,134619081,1567993439.289
0.250,0.275,99.475,0,0,67633152,4681728,134593,94322521,1567993440.289
0.351,0.250,99.399,0,0,106954752,8192,170844,117910287,1567993441.289
0.326,0.251,99.424,0,0,106954752,8192,152650,96379867,1567993442.289
0.425,0.300,99.274,0,0,123731968,8192,324884,143275939,1567993443.289
0.526,0.325,99.149,0,0,143130624,8192,260010,139965038,1567993444.289
0.526,0.451,98.998,0.025,0,150994944,5959680,202812,228057154,1567993445.289
0.500,0.450,99.050,0,0,160956416,8192,136924,159502112,1567993446.289
0.375,0.275,99.349,0,0,103809024,8192,192928,152630600,1567993447.289
0.451,0.200,99.349,0,0,118489088,8192,154208,141453020,1567993448.289
0.250,0.175,99.575,0,0,90177536,8192,88618,49069407,1567993449.289
0.225,0.250,99.500,0.025,0,63438848,6057984,85209,92684517,1567993450.289
0.225,0.200,99.575,0,0,49299456,8192,81530,94461974,1567993451.290
0.125,0.100,99.775,0,0,36700160,8192,83378,23617339,1567993452.289
0.175,0.100,99.725,0,0,53477376,8192,68574,70719201,1567993453.289
0.325,0.200,99.474,0,0,78643200,8192,114876,97217546,1567993454.289
0.525,0.350,99.099,0.025,0,169349120,3502080,139054,139783105,1567993455.289
0.300,0.225,99.474,0,0,76546048,8192,169656,140272112,1567993456.289
0.300,0.150,99.550,0,0,81264640,8192,65214,94295074,1567993457.289
0.275,0.150,99.574,0,0,90177536,8192,160554,94440580,1567993458.289
0.250,0.150,99.600,0,0,67633152,8192,66606,53502193,1567993459.289
0.300,0.225,99.474,0,0,90177536,4636672,98839,111680450,1567993460.289
0.150,0.100,99.750,0,0,62914560,8192,84090,47175074,1567993461.289
0.125,0.100,99.775,0,0,27262976,8192,50878,47156792,1567993462.289
0.150,0.100,99.750,0,0,45088768,8192,42914,38637715,1567993463.289
0.175,0.100,99.725,0,0,45088768,8192,95890,55762550,1567993464.289
0.175,0.125,99.675,0.025,0,54525952,2834432,73710,37111597,1567993465.289
0.275,0.325,99.400,0,0,58195968,819200,68976,104367545,1567993466.289
0.200,0.150,99.650,0,0,53477376,8192,64312,24655955,1567993467.289
0.325,0.275,99.399,0,0,102236160,0,114918,140426540,1567993468.289
0.150,0.075,99.775,0,0,24641536,8192,62122,47291711,1567993469.289
0.350,0.250,99.400,0,0,90177536,2625536,132761,105026489,1567993470.289
0.100,0.075,99.825,0,0,22544384,53248,53608,36416476,1567993471.289
0.175,0.225,99.599,0,0,63438848,8192,94458,70761629,1567993472.289
0.476,0.225,99.299,0,0,138412032,8192,164130,142129826,1567993473.289
0.476,0.275,99.249,0,0,112721920,8192,191882,164484032,1567993474.289
0.200,0.200,99.575,0.025,0,50331648,4780032,86160,47166062,1567993475.289
0.250,0.150,99.599,0,0,106430464,8192,166538,94484528,1567993476.289
0.375,0.225,99.399,0,0,144179200,8192,113552,94331806,1567993477.289
0.601,0.400,98.999,0,0,131596288,8192,185438,212176181,1567993478.290
0.426,0.251,99.324,0,0,148373504,8192,119168,141582015,1567993479.289
0.275,0.175,99.524,0.025,0,95420416,5591040,135783,83156948,1567993480.289
0.325,0.150,99.525,0,0,67633152,8192,116590,105541051,1567993481.289
0.125,0.100,99.775,0,0,65536000,8192,34272,23571877,1567993482.289
0.300,0.175,99.524,0,0,76021760,8192,136220,117969531,1567993483.289
0.050,0.075,99.875,0,0,16252928,8192,73050,23668900,1567993484.289
0.150,0.050,99.800,0,0,45088768,3112960,28880,32505949,1567993485.289
0.175,0.125,99.700,0,0,45088768,8192,64322,61803213,1567993486.289
0.100,0.100,99.800,0,0,45088768,8192,22560,23576431,1567993487.289
0.250,0.175,99.575,0,0,67633152,8192,82868,94299628,1567993488.289
0.275,0.175,99.550,0,0,85983232,8192,63232,70807384,1567993489.289
0.300,0.200,99.475,0.025,0,78118912,3039232,56587,70723962,1567993490.289
